x	y	z	vz
-910.366	-861.505	-28.507	-11.247
-909.488	-860.726	-28.86	-11.257
-908.611	-859.946	-29.213	-11.268
-907.733	-859.165	-29.568	-11.278
-906.856	-858.382	-29.924	-11.288
-905.978	-857.598	-30.281	-11.298
-905.101	-856.813	-30.639	-11.308
-904.223	-856.027	-30.998	-11.318
-903.346	-855.239	-31.358	-11.327
-902.468	-854.45	-31.719	-11.337
-901.591	-853.66	-32.082	-11.347
-900.713	-852.869	-32.446	-11.357
-899.836	-852.076	-32.81	-11.366
-898.958	-851.282	-33.176	-11.376
-898.08	-850.487	-33.543	-11.385
-897.203	-849.691	-33.911	-11.394
-896.325	-848.893	-34.28	-11.404
-895.448	-848.094	-34.65	-11.413
-894.57	-847.294	-35.022	-11.422
-893.693	-846.492	-35.394	-11.431
-892.815	-845.69	-35.768	-11.44
-891.938	-844.886	-36.142	-11.449
-891.06	-844.081	-36.518	-11.458
-890.183	-843.274	-36.895	-11.467
-889.305	-842.466	-37.273	-11.476
-888.428	-841.657	-37.652	-11.485
-887.55	-840.847	-38.032	-11.494
-886.673	-840.036	-38.413	-11.502
-885.795	-839.223	-38.796	-11.511
-884.918	-838.409	-39.179	-11.519
-884.04	-837.594	-39.564	-11.528
-883.163	-836.777	-39.949	-11.536
-882.285	-835.96	-40.336	-11.544
-881.408	-835.141	-40.724	-11.552
-880.53	-834.32	-41.113	-11.56
-879.653	-833.499	-41.502	-11.568
-878.775	-832.676	-41.893	-11.576
-877.898	-831.852	-42.286	-11.584
-877.02	-831.027	-42.679	-11.592
-876.143	-830.2	-43.073	-11.6
-875.265	-829.373	-43.468	-11.608
-874.388	-828.544	-43.865	-11.615
-873.51	-827.713	-44.262	-11.623
-872.633	-826.882	-44.661	-11.63
-871.755	-826.049	-45.06	-11.637
-870.878	-825.215	-45.461	-11.645
-870.0	-824.38	-45.863	-11.652
-869.123	-823.543	-46.265	-11.659
-868.245	-822.705	-46.669	-11.666
-867.368	-821.866	-47.074	-11.673
-866.49	-821.026	-47.48	-11.68
-865.613	-820.184	-47.887	-11.687
-864.735	-819.342	-48.295	-11.693
-863.858	-818.497	-48.704	-11.7
-862.98	-817.652	-49.114	-11.706
-862.103	-816.806	-49.525	-11.713
-861.225	-815.958	-49.937	-11.719
-860.348	-815.109	-50.35	-11.726
-859.47	-814.258	-50.764	-11.732
-858.593	-813.407	-51.179	-11.738
-857.715	-812.554	-51.595	-11.744
-856.838	-811.7	-52.013	-11.75
-855.96	-810.844	-52.431	-11.756
-855.083	-809.988	-52.85	-11.761
-854.205	-809.13	-53.27	-11.767
-853.328	-808.271	-53.691	-11.772
-852.45	-807.41	-54.113	-11.778
-851.573	-806.549	-54.537	-11.783
-850.695	-805.686	-54.961	-11.789
-849.818	-804.822	-55.386	-11.794
-848.94	-803.956	-55.812	-11.799
-848.063	-803.09	-56.239	-11.804
-847.185	-802.222	-56.667	-11.809
-846.308	-801.353	-57.096	-11.814
-845.43	-800.482	-57.526	-11.818
-844.553	-799.611	-57.957	-11.823
-843.675	-798.738	-58.389	-11.827
-842.798	-797.863	-58.821	-11.832
-841.92	-796.988	-59.255	-11.836
-841.043	-796.111	-59.69	-11.84
-840.165	-795.233	-60.125	-11.844
-839.288	-794.354	-60.562	-11.848
-838.41	-793.474	-60.999	-11.852
-837.533	-792.592	-61.438	-11.856
-836.655	-791.709	-61.877	-11.86
-835.778	-790.825	-62.317	-11.863
-834.9	-789.939	-62.758	-11.867
-834.023	-789.053	-63.2	-11.87
-833.145	-788.165	-63.643	-11.874
-832.268	-787.276	-64.086	-11.877
-831.39	-786.385	-64.531	-11.88
-830.513	-785.493	-64.976	-11.883
-829.635	-784.6	-65.423	-11.886
-828.757	-783.706	-65.87	-11.888
-827.88	-782.811	-66.318	-11.891
-827.002	-781.914	-66.767	-11.894
-826.125	-781.016	-67.216	-11.896
-825.247	-780.117	-67.667	-11.898
-824.37	-779.216	-68.118	-11.9
-823.492	-778.314	-68.57	-11.903
-822.615	-777.411	-69.023	-11.904
-821.737	-776.507	-69.477	-11.906
-820.86	-775.602	-69.931	-11.908
-819.982	-774.695	-70.387	-11.91
-819.105	-773.787	-70.843	-11.911
-818.227	-772.877	-71.3	-11.913
-817.35	-771.967	-71.757	-11.914
-816.472	-771.055	-72.216	-11.915
-815.595	-770.142	-72.675	-11.916
-814.717	-769.228	-73.135	-11.917
-813.84	-768.312	-73.596	-11.918
-812.962	-767.395	-74.057	-11.918
-812.085	-766.477	-74.519	-11.919
-811.207	-765.558	-74.982	-11.919
-810.33	-764.637	-75.446	-11.92
-809.452	-763.716	-75.91	-11.92
-808.575	-762.792	-76.375	-11.92
-807.697	-761.868	-76.84	-11.92
